nome,tarefas,concluido
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,certif_sinc,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,certif_co,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,co_rel_pgto,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,medida_obj,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,medida_ctx,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,medida_esc,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,pareamento,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,rel_tratamento,False
2073 - MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,rel_verificacao,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),frop1,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),frop1_ret,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),frop2,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),frop3,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),dv_banco,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),dv_producao,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),imagem,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),conf_hmg,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),conf_pro_t1,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),recuperacao,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),recuperacao_t2,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),nm_aluno,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),categorizacao_tn,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),rel_categroizacao,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),certif_obj,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),certif_ctx,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),certif_nap,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),certif_esc,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),certif_sinc,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),certif_co,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),co_rel_pgto,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),medida_obj,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),medida_ctx,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),medida_esc,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),pareamento,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),rel_tratamento,False
2074 - CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),rel_verificacao,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),frop1,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),frop1_ret,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),frop2,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),frop3,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),dv_banco,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),dv_producao,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),imagem,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),conf_hmg,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),conf_pro_t1,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),recuperacao,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),recuperacao_t2,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),nm_aluno,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),categorizacao_tn,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),rel_categroizacao,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),certif_obj,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),certif_ctx,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),certif_nap,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),certif_esc,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),certif_sinc,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),certif_co,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),co_rel_pgto,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),medida_obj,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),medida_ctx,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),medida_esc,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),pareamento,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),rel_tratamento,False
2075 - CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),rel_verificacao,False
2076 - PROVA RIO 2025,frop1,False
2076 - PROVA RIO 2025,frop1_ret,False
2076 - PROVA RIO 2025,frop2,False
2076 - PROVA RIO 2025,frop3,False
2076 - PROVA RIO 2025,dv_banco,False
2076 - PROVA RIO 2025,dv_producao,False
2076 - PROVA RIO 2025,imagem,False
2076 - PROVA RIO 2025,conf_hmg,False
2076 - PROVA RIO 2025,conf_pro_t1,False
2076 - PROVA RIO 2025,recuperacao,False
2076 - PROVA RIO 2025,recuperacao_t2,False
2076 - PROVA RIO 2025,nm_aluno,False
2076 - PROVA RIO 2025,categorizacao_tn,False
2076 - PROVA RIO 2025,rel_categroizacao,False
2076 - PROVA RIO 2025,certif_obj,False
2076 - PROVA RIO 2025,certif_ctx,False
2076 - PROVA RIO 2025,certif_nap,False
2076 - PROVA RIO 2025,certif_esc,False
2076 - PROVA RIO 2025,certif_sinc,False
2076 - PROVA RIO 2025,certif_co,False
2076 - PROVA RIO 2025,co_rel_pgto,False
2076 - PROVA RIO 2025,medida_obj,False
2076 - PROVA RIO 2025,medida_ctx,False
2076 - PROVA RIO 2025,medida_esc,False
2076 - PROVA RIO 2025,pareamento,False
2076 - PROVA RIO 2025,rel_tratamento,False
2076 - PROVA RIO 2025,rel_verificacao,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),frop1,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),frop1_ret,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),frop2,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),frop3,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),dv_banco,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),dv_producao,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),imagem,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),conf_hmg,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),conf_pro_t1,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),recuperacao,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),recuperacao_t2,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),nm_aluno,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),categorizacao_tn,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),rel_categroizacao,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),certif_obj,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),certif_ctx,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),certif_nap,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),certif_esc,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),certif_sinc,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),certif_co,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),co_rel_pgto,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),medida_obj,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),medida_ctx,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),medida_esc,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),pareamento,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),rel_tratamento,False
2078 - MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),rel_verificacao,False
2081 - AL ALAGOAS - AV. SOMATIVA 2025 (SAVEAL),frop1,False
2081 - AL ALAGOAS - AV. SOMATIVA 2025 (SAVEAL),frop1_ret,False
2081 - AL ALAGOAS - AV. SOMATIVA 2025 (SAVEAL),frop2,False
2081 - AL ALAGOAS - AV. SOMATIVA 2025 (SAVEAL),frop3,False
2081 - AL ALAGOAS - AV. SOMATIVA 2025 (SAVEAL),dv_banco,False
2081 - AL ALAGOAS - AV. SOMATIVA 2025 (SAVEAL),dv_producao,False
2081 - AL ALAGOAS - AV. SOMATIVA 2025 (SAVEAL),imagem,False
2081 - AL ALAGOAS - AV. SOMATIVA 2025 (SAVEAL),conf_hmg,False
